id,x,y,energy,range,alive
40000,480,480,5,150,TRUE
40001,520,470,5,150,TRUE
40002,500,520,5,150,TRUE
40003,460,500,5,150,TRUE
40004,540,510,5,150,TRUE
40005,510,450,5,150,TRUE
40006,490,540,5,150,TRUE
40007,470,470,5,150,TRUE
40008,530,530,5,150,TRUE
40009,500,500,5,150,TRUE
40010,560,480,5,150,TRUE
40011,440,520,5,150,TRUE
40012,520,560,5,150,TRUE
40013,480,560,5,150,TRUE
40014,560,520,5,150,TRUE
40015,450,450,5,150,TRUE
40016,550,450,5,150,TRUE
40017,450,550,5,150,TRUE
40018,550,550,5,150,TRUE
40019,500,460,5,150,TRUE
40020,120,156,5,150,TRUE
40021,145,160,5,150,TRUE
40022,278,267,5,150,TRUE
40023,300,240,5,150,TRUE
40024,360,280,5,150,TRUE
40025,420,320,5,150,TRUE
40026,160,260,5,150,TRUE
40027,220,324,5,150,TRUE
40028,340,300,5,150,TRUE
40029,280,311,5,150,TRUE
40030,120,800,5,150,TRUE
40031,157,732,5,150,TRUE
40032,240,755,5,150,TRUE
40033,300,680,5,150,TRUE
40034,360,640,5,150,TRUE
40035,420,600,5,150,TRUE
40036,160,700,5,150,TRUE
40037,220,660,5,150,TRUE
40038,321,660,5,150,TRUE
40039,340,580,5,150,TRUE
40040,800,150,5,150,TRUE
40041,850,200,5,150,TRUE
40042,900,250,5,150,TRUE
40043,950,300,5,150,TRUE
40044,880,180,5,150,TRUE
40045,820,220,5,150,TRUE
40046,860,260,5,150,TRUE
40047,900,180,5,150,TRUE
40048,950,220,5,150,TRUE
40049,820,300,5,150,TRUE
40050,466,850,5,150,TRUE
40051,800,800,5,150,TRUE
40052,850,750,5,150,TRUE
40053,930,730,5,150,TRUE
40054,950,650,5,150,TRUE
40055,780,820,5,150,TRUE
40056,820,780,5,150,TRUE
40057,880,740,5,150,TRUE
40058,920,645,5,150,TRUE
40059,900,660,5,150,TRUE
40060,600,100,5,150,TRUE
40061,650,150,5,150,TRUE
40062,700,200,5,150,TRUE
40063,235,250,5,150,TRUE
40064,650,250,5,150,TRUE
40065,700,300,5,150,TRUE
40066,735,350,5,150,TRUE
40067,600,300,5,150,TRUE
40068,650,350,5,150,TRUE
40069,700,400,5,150,TRUE
