id,x,y,residualEnergy,commRange,alive
55000,132,847,5,150,TRUE
55001,418,233,5,150,TRUE
55002,679,591,5,150,TRUE
55003,845,312,5,150,TRUE
55004,257,469,5,150,TRUE
55005,534,148,5,150,TRUE
55006,721,845,5,150,TRUE
55007,905,564,5,150,TRUE
55008,312,782,5,150,TRUE
55009,478,653,5,150,TRUE
55010,164,295,5,150,TRUE
55011,389,901,5,150,TRUE
55012,590,381,5,150,TRUE
55013,742,109,5,150,TRUE
55014,861,742,5,150,TRUE
55015,216,615,5,150,TRUE
55016,493,892,5,150,TRUE
55017,638,704,5,150,TRUE
55018,784,461,5,150,TRUE
55019,927,182,5,150,TRUE
55020,104,536,5,150,TRUE
55021,358,152,5,150,TRUE
55022,512,504,5,150,TRUE
55023,671,263,5,150,TRUE
55024,819,598,5,150,TRUE
55025,940,842,5,150,TRUE
55026,295,345,5,150,TRUE
55027,463,748,5,150,TRUE
55028,608,913,5,150,TRUE
55029,755,670,5,150,TRUE
55030,889,421,5,150,TRUE
55031,177,189,5,150,TRUE
55032,334,527,5,150,TRUE
55033,501,311,5,150,TRUE
55034,642,152,5,150,TRUE
55035,798,879,5,150,TRUE
55036,912,689,5,150,TRUE
55037,243,856,5,150,TRUE
55038,406,611,5,150,TRUE
55039,559,778,5,150,TRUE
55040,703,529,5,150,TRUE
55041,861,254,5,150,TRUE
55042,118,402,5,150,TRUE
55043,286,679,5,150,TRUE
55044,441,457,5,150,TRUE
55045,596,239,5,150,TRUE
55046,734,813,5,150,TRUE
55047,872,516,5,150,TRUE
55048,951,334,5,150,TRUE
55049,168,731,5,150,TRUE
55050,321,898,5,150,TRUE
55051,487,185,5,150,TRUE
55052,633,432,5,150,TRUE
55053,768,602,5,150,TRUE
55054,904,781,5,150,TRUE
55055,212,503,5,150,TRUE
55056,365,746,5,150,TRUE
55057,519,937,5,150,TRUE
55058,657,812,5,150,TRUE
55059,802,373,5,150,TRUE
55060,934,612,5,150,TRUE
55061,147,651,5,150,TRUE
55062,298,258,5,150,TRUE
55063,452,833,5,150,TRUE
55064,688,482,5,150,TRUE
